,fr
0,"['hello', 'back', 'last', 'warning', 'stop', 'stop', 'mount', 'die']"
1,"['think', 'spread', 'burned', 'fag', 'hell', 'hate', 'sorry', 'make', 'love', 'condoms', 'miss']"
2,"['also', 'sock', 'puppet', 'account', 'sincerely', 'surprise', 'man', 'follow', 'internet', 'kill']"
3,"['fuck', 'smith', 'please', 'let', 'know', 'die', 'want', 'dance', 'grave']"
4,"['would', 'first', 'time', 'fuck', 'find', 'live', 'somatize', 'wife', 'burn', 'house', 'fuck', 'fucking']"
5,"['Whoever', 'puts', 'note', 'page', 'kill']"
6,"['shut', 'big', 'shit', 'kick', 'ass']"
7,"['degrade', 'Morton', 'bastard', 'stop', 'dropping', 'shit', 'white', 'trash', 'cracker', 'muckraker', 'fuck', 'racist', 'bitch', 'hope', 'die']"
8,"['Aaron', 'Swartz', 'stops', 'fucking', 'repeat', 'damn', 'modifications', 'think', 'Aaron', 'Swartz', 'stupid', 'ass', 'killed', 'long', 'time', 'ago', 'know', 'live', 'kill', 'put', 'pages']"
9,"['homo', 'gay', 'hope', 'choke', 'penis', 'dying', 'send', 'big', 'cock', 'jazz', 'face']"
10,"['kill', 'ashamed', 'woofers', 'like', 'sacks', 'foam', 'deserve', 'die', 'Anti', 'scientific', 'bastards', 'destroy', 'America']"
11,"['important', 'family', 'burns', 'warned', 'talk', 'troll', 'muckrakes', 'page', 'kill', 'goodbye', 'bye', 'sleep']"
12,"['Will', 'die', 'son', 'birch']"
13,"['What', 'problem', 'Kill', 'wicked', 'creature']"
14,"['Homeland', 'son', 'bitch', 'kill']"
15,"['Please', 'stop', 'continue', 'ignore', 'guidelines', 'introducing', 'inappropriate', 'sides', 'trachea', 'They', 'blocked']"
16,"['Last', 'warning', 'marker', 'challenge', 'arguments', 'subject', 'ruthless', 'anger']"
17,"['bastard', 'shit', 'life', 'shit', 'bastard', 'shoot', 'cock', 'ass', 'hate', 'hope', 'always', 'fucking', 'dying', 'die', 'dying', 'shit', 'ass', 'mah', 'marooner', 'ate', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'bokong', 'bokong', 'ass', 'bokong', 'ass', 'bokong', 'ass', 'bokong', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'ass', 'know', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'ate', 'eaten', 'eaten', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'used', 'eat', 'eat', 'eat', 'eat', 'eat', 'eat', 'eat', 'eat', 'eat', 'eat', 'eat', 'eat', 'eat', 'eat', 'eat', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'Eat', 'like', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'like', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'ass', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'ate', 'ate', 'eat', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'ate', 'like', 'ass', 'ass', 'ass', 'ass', 'ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'Ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'Ass', 'Ass', 'Ass', 'Ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass', 'ass']"
18,"['Why', 'still', 'Can', 'find', 'anything', 'important', 'killing']"
19,"['harassed', 'sin', 'write', 'message', 'specifically', 'answer', 'threaten', 'someone', 'shots', 'hand', 'mocking', 'comment', 'say', 'kill', 'fire', 'others', 'say', 'going', 'pray', 'church', 'get', 'cancer', 'die', 'fire', 'sarcastic', 'tone', 'bad', 'say', 'take', 'weeks']"
20,"['remove', 'Seashell', 'bad', 'things', 'happen']"
21,"['How', 'dare', 'send', 'abuse', 'damn', 'master', 'cock', 'dare', 'warn', 'Jeff', 'brutally', 'attack', 'mother', 'know', 'live']"
22,"['Hula', 'hope', 'die', '124', '180', '167', '228']"
23,"['say', 'anything', 'bullshit', 'bullshit', 'season', 'fooled', 'see', 'see', 'publishing', 'sending', 'daddy', 'article', 'someone', 'else', 'meeting', 'suspected', 'people', 'terrorism', 'yes', 'terrorist', 'suspect', 'days', 'kiss', 'young', 'life', 'goodbye', 'submit', 'complaints', 'banished', 'naked', 'ass', 'time', 'world', 'cell', 'block', 'think', 'happened', '252', '167', '254']"
24,"['Who', 'hell', 'thinking', 'dare', 'return', 'edition', 'familiar', 'province', 'made', 'friend', 'smile', 'ruined', 'ruining', 'life', 'lives', 'friends', 'cut', 'half']"
25,"['Wow', 'one', 'comments', 'users', 'come', 'page', 'drools', 'slowly', 'try', 'get', 'politeness', 'miserable', 'always', 'hope', 'die', 'jazz', 'fire']"
