,it
0,"['Cocksucker', 'pissing', 'job']"
1,"['Stupid', 'peace', 'shit', 'stop', 'cleaning', 'ass', 'stuff', 'die', 'fall', 'hole', 'hell']"
2,"['You', 'stupid', 'fuck', 'mother', 'pussy', 'stinks']"
3,"['hello', 'slutty', 'bitch', '180', '208', '181']"
4,"['What', 'bastard', 'mother', 'fucking', 'heads', 'block']"
5,"['You', 'know', 'thought', 'one', 'really', 'attacked', 'announcing', 'age', 'announcing', 'constantly', 'harassed', 'mistreated', 'The', 'goes', 'sandbox', 'knew', 'age', 'represented', 'nothing', 'told', 'old', 'hated', 'funny', 'idiot', 'soap', 'make', 'teenagers', 'responsible', 'soap', 'box', 'decline', 'always', 'good', 'start', 'adults', 'stupid', 'people', 'starrocketsinflight', 'Mauricio', 'toast', 'redirect', 'shovel', 'shovel', 'forever', 'lost', 'Tinkerbell', 'green', 'tree', 'rabbit', 'Robinson', 'Enigma', 'nightmares', 'cocaine', 'Tokyo', 'dome', 'Chad', 'Ochoa', 'RCA', 'steve', 'see', 'adolescent', 'adults', 'Poster', 'brightest', 'usually', 'see', 'head', 'dag', 'beat', 'classic', 'brunette', 'metropolis', 'age', 'even', 'script', 'Chris', 'cartoon', 'bipolar', 'cite', 'show', 'adults', 'publish', 'rate', 'pop', 'ball', 'smell', 'strange', 'magician', 'hater', 'rape', 'Ike', 'little', 'girls', 'hey', 'look', 'guy', 'whore', 'attention', 'adults', 'Poster', 'immature', 'imbecile', 'bullies', 'mental', 'capacity', 'retarded', 'year', 'old', 'teenagers', 'kind', 'smart', 'mature', 'Pesso', 'deep', 'constantly', 'bullying', 'school', 'subjected', 'adult', 'poster', 'idiots', 'think', 'somehow', 'superior', 'born', 'abandoned', 'head', 'never', 'lost', 'logic', 'Soapbox', 'fun']"
6,"['Here', 'idea', 'fuck', 'Cums', 'Hitter']"
7,"['The', 'damned', 'safety', 'mother', 'guaranteed', 'damned', 'hope', 'pay', 'damn', 'arms', 'come', 'back', 'Mother', 'Ficker', 'yes', 'joke', 'family', 'husband', 'wife', 'daughter', 'daughter', 'goes', 'agent', 'office', 'tells', 'Facendole', 'great', 'routine', 'vaudeville', 'says', 'action', 'kids', 'say', 'really', 'good', 'agent', 'says', 'let', 'see', 'get', 'smell', 'throwing', 'family', 'finished', 'daughter', 'hits', 'player', 'circus', 'music', 'starts', 'playing', 'father', 'jumps', 'kick', 'son', 'head', 'breathes', 'face', 'ground', 'bleeding', 'pulp', 'continues', 'masturbate', 'cum', 'battered', 'skull', 'Meanwhile', 'mother', 'starts', 'masturbate', 'violently', 'fucks', 'daughter', 'dog', 'fucks', 'mother', 'asshole', 'point', 'father', 'left', 'brain', 'mass', 'left', 'son', 'head', 'pushes', 'mother', 'pussy', 'pussy', 'starts', 'pussy', 'time', 'slipping', 'fingers', 'Her', 'daughter', 'neck', 'spat', 'vomits', 'dog', 'bites', 'mother', 'hand', 'fucks', 'daughter', 'hand', 'daughter', 'pussy', 'sticks', 'blood', 'squirts', 'body', 'The', 'soil', 'lubricates', 'breasts', 'mother', 'bends', 'vomits', 'everywhere', 'open', 'wound', 'hand', 'bite', 'dog', 'bites', 'take', 'dog', 'push', 'inside', 'microwave', 'heats', 'explodes', 'brings', 'dog', 'together', 'father', 'crap', 'wound', 'head', 'son', 'father', 'sperm', 'pushes', 'daughter', 'mouth', 'father', 'snatches', 'son', 'cock', 'fucks', 'mother', 'locates', 'son', 'testicles', 'breaks', 'drinks', 'sperm', 'comes', 'family', 'straightens', 'says', 'silence', 'agent', 'closes', 'Lich', 'says', 'like', 'call', 'says', 'family', 'call', 'aristocrats']"
8,"['gay', 'mother', 'asshole', 'know', 'live', 'rub', 'face', 'pound', 'chicken']"
9,"['first', 'time', 'fucked', 'find', 'live', 'somatize', 'wife', 'burn', 'house', 'fuck', 'damn']"
